ScenarioId,Date,Hour,ZoneId,LMP,Energy,Congestion,Losses
1,1/16/2022,3,90002,0.039661001,0.041972999,-0.001561,-0.000751
1,1/16/2022,4,90002,0.039305001,0.041515,-0.001438,-0.000772
1,1/16/2022,5,90002,0.039572001,0.041944999,-0.001576,-0.000797
1,1/16/2022,6,90002,0.041381001,0.044388,-0.00216,-0.000848
1,1/16/2022,7,90002,0.043935999,0.047694001,-0.002914,-0.000844
1,1/16/2022,8,90002,0.044929001,0.048831999,-0.003019,-0.000884
1,1/16/2022,9,90002,0.044133,0.048062999,-0.003017,-0.000913
1,1/16/2022,10,90002,0.042567,0.045568001,-0.002162,-0.000838
1,1/16/2022,11,90002,0.041728001,0.044654001,-0.002083,-0.000844
1,1/16/2022,12,90002,0.039949998,0.042560998,-0.00176,-0.000851
1,1/16/2022,13,90002,0.037498001,0.040571,-0.002257,-0.000815
1,1/16/2022,14,90002,0.035282001,0.03892,-0.002805,-0.000833
1,1/16/2022,15,90002,0.034952998,0.038586002,-0.00285,-0.000783
1,1/16/2022,16,90002,0.033636998,0.03771,-0.003338,-0.000735
1,1/16/2022,17,90002,0.035071,0.038756002,-0.002934,-0.000752
1,1/16/2022,18,90002,0.039891999,0.043834001,-0.003109,-0.000833
1,1/16/2022,19,90002,0.046319,0.050028998,-0.002814,-0.000896
1,1/16/2022,20,90002,0.044411,0.048012,-0.002709,-0.000893
1,1/16/2022,21,90002,0.041455999,0.044822,-0.002523,-0.000843
1,1/16/2022,22,90002,0.040782001,0.043760002,-0.002151,-0.000827
1,1/16/2022,23,90002,0.039721001,0.042130999,-0.001567,-0.000843
1,1/16/2022,24,90002,0.035797998,0.039145999,-0.002479,-0.000869
1,1/16/2022,1,90003,0.039312001,0.042474002,-0.001688,-0.001474
1,1/16/2022,2,90003,0.039028998,0.042146999,-0.001613,-0.001505
1,1/16/2022,3,90003,0.038945001,0.041972999,-0.001505,-0.001524
1,1/16/2022,4,90003,0.038628999,0.041515,-0.001346,-0.00154
1,1/16/2022,5,90003,0.038839001,0.041944999,-0.001521,-0.001586
1,1/16/2022,6,90003,0.040421002,0.044388,-0.002285,-0.001682
1,1/16/2022,7,90003,0.042693999,0.047694001,-0.003269,-0.001731
1,1/16/2022,8,90003,0.043706,0.048831999,-0.003348,-0.001777
1,1/16/2022,9,90003,0.042954002,0.048062999,-0.00336,-0.00175
1,1/16/2022,10,90003,0.041733,0.045568001,-0.00219,-0.001645
1,1/16/2022,11,90003,0.040902998,0.044654001,-0.002103,-0.001648
1,1/16/2022,12,90003,0.039216999,0.042560998,-0.001714,-0.00163
1,1/16/2022,13,90003,0.036431,0.040571,-0.002589,-0.00155
1,1/16/2022,14,90003,0.033895999,0.03892,-0.003526,-0.001498
1,1/16/2022,15,90003,0.033560999,0.038586002,-0.003616,-0.001408
1,1/16/2022,16,90003,0.031904001,0.03771,-0.004422,-0.001384
1,1/16/2022,17,90003,0.033661,0.038756002,-0.003723,-0.001372
1,1/16/2022,18,90003,0.038702998,0.043834001,-0.003671,-0.00146
1,1/16/2022,19,90003,0.045526002,0.050028998,-0.002852,-0.001651
1,1/16/2022,20,90003,0.043549001,0.048012,-0.002807,-0.001656
1,1/16/2022,21,90003,0.040479999,0.044822,-0.00272,-0.001623
1,1/16/2022,22,90003,0.039937001,0.043760002,-0.00223,-0.001593
1,1/16/2022,23,90003,0.039085999,0.042130999,-0.001444,-0.001601
1,1/16/2022,24,90003,0.034561999,0.039145999,-0.003018,-0.001566
1,1/16/2022,1,90005,0.040608,0.042474002,-0.001981,0.000115
1,1/16/2022,2,90005,0.040267002,0.042146999,-0.001922,4.20E-05
1,1/16/2022,3,90005,0.040088002,0.041972999,-0.001831,-5.50E-05
1,1/16/2022,4,90005,0.039772999,0.041515,-0.001713,-2.90E-05
1,1/16/2022,5,90005,0.040137999,0.041944999,-0.001853,4.60E-05
1,1/16/2022,6,90005,0.042121999,0.044388,-0.002422,0.000155
1,1/16/2022,7,90005,0.044578001,0.047694001,-0.00314,2.40E-05
1,1/16/2022,8,90005,0.045614,0.048831999,-0.003282,6.30E-05
1,1/16/2022,9,90005,0.044953998,0.048062999,-0.003244,0.000135
1,1/16/2022,10,90005,0.043345999,0.045568001,-0.00249,0.000269
1,1/16/2022,11,90005,0.042640999,0.044654001,-0.002411,0.000397
1,1/16/2022,12,90005,0.040853001,0.042560998,-0.002078,0.00037
1,1/16/2022,13,90005,0.040235002,0.040571,-0.000786,0.00045
1,1/16/2022,14,90005,0.039483,0.03892,7.20E-05,0.00049
1,1/16/2022,15,90005,0.039296001,0.038586002,0.000178,0.000532
1,1/16/2022,16,90005,0.039108999,0.03771,0.000867,0.000532
1,1/16/2022,17,90005,0.03954,0.038756002,0.000183,0.000601
1,1/16/2022,18,90005,0.043954998,0.043834001,-0.000782,0.000903
1,1/16/2022,19,90005,0.048634999,0.050028998,-0.00232,0.000926
1,1/16/2022,20,90005,0.046852998,0.048012,-0.002009,0.00085
1,1/16/2022,21,90005,0.044006001,0.044822,-0.001493,0.000677
1,1/16/2022,22,90005,0.042748,0.043760002,-0.001572,0.00056
1,1/16/2022,23,90005,0.040681001,0.042130999,-0.001905,0.000455
1,1/16/2022,24,90005,0.039340001,0.039145999,-0.000268,0.000462
1,1/31/2022,1,90001,0.017167,0.017377,0,-0.00021
1,1/31/2022,2,90001,0.01584,0.016034,0,-0.000194
1,1/31/2022,3,90001,0.016059,0.016267,0,-0.000208
